year,month,Row Labels,Sum of Administered,Sum of Administered_Janssen,Sum of Administered_Moderna,Sum of Administered_Pfizer,Sum of Administered_Unk_Manuf,Sum of Series_Complete_Yes,Sum of Series_Complete_Pop_Pct,Sum of Series_Complete_Janssen,Sum of Series_Complete_Moderna,Sum of Series_Complete_Pfizer,Sum of Series_Complete_Unk_Manuf,All other conditions_with_covid,Alzheimer disease_with_covid,Circulatory diseases_with_covid,COVID-19,Diabetes_with_covid,"Intentional and unintentional injury, poisoning_with_covid",Malignant neoplasms_with_covid,Obesity_with_covid,Renal failure_with_covid,Respiratory diseases_with_covid,Sepsis_with_covid,Vascular and unspecified dementia_with_covid,COVID_Death_count,Sum of Natural Cause,Sum of Septicemia,Sum of Malignant neoplasms,Sum of Diabetes mellitus,Sum of Influenza and pneumonia,Sum of Alzheimer,Sum of Chronic lower respiratory,Sum of Other diseases of respiratory system,Sum of Nephritis,Sum of not elsewhere classified,Sum of Diseases of heart ,Sum of Cerebrovascular diseases
2021,5,Florida,533560025,21065139,228184496,283367358,943032,232070484,1080.6,20779276,93731590,117253153,306465,529,0,754,1304,135,0,61,38,127,1740,176,46,4910,20448,239,4570,683,244,592,993,288,298,414,4622,1451
2021,5,Georgia,217578404,5303988,97708583,114549328,16505,94859604,893.2,5206351,41707664,47936064,9525,165,12,91,367,26,0,0,0,13,389,37,0,1100,8196,165,1678,228,83,359,399,225,232,128,1909,522
2021,5,Hawaii,44719963,855529,16037241,24920633,2906560,18822917,1329.4,865389,6676614,10720702,560212,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,91,258,232,132,147,157,124,142,157,260,82
2021,5,Idaho,36296465,1109329,16055271,19112702,19163,16875243,944.3,1105310,7153409,8610715,5809,22,0,0,52,0,0,0,0,0,35,0,0,109,1316,91,302,136,79,155,79,124,142,157,288,64
2021,5,Illinois,330142258,10932450,137683122,181325586,201100,141218226,1114.6,10947926,55800310,74402151,67839,245,0,535,754,194,0,45,57,12,796,10,26,2674,9780,138,2095,296,141,325,418,116,214,149,2320,576
2021,5,Indiana,145750881,4790519,59998989,80638280,323093,66615894,989.3,4729085,26530881,35250229,105699,179,0,172,354,56,0,11,0,12,366,11,12,1173,5972,80,1290,212,80,183,376,105,122,120,1445,317
2021,5,Iowa,82243446,3209610,36750171,42279873,3792,39115799,1239.7,3150026,17076737,18887132,1904,41,0,0,87,0,0,0,0,0,51,0,0,179,2614,102,601,93,132,107,134,83,142,157,665,137
2021,5,Kansas,68097434,2048586,31013497,35017220,18131,32391563,1111.8,2050911,14108621,16226129,5902,10,0,0,77,0,0,0,0,0,0,0,0,87,2343,113,499,80,102,67,133,109,121,56,559,120
2021,5,Kentucky,105981196,3910295,47503840,54555713,11348,49465770,1107.4,3824864,21057622,24573317,9967,128,0,71,217,38,0,10,0,0,226,12,11,713,4491,93,971,157,84,153,329,85,106,76,1043,203
2021,5,Louisiana,90493393,3060186,42379358,45022333,31516,42247645,908.7,2929657,18848096,20454111,15781,32,0,10,165,13,0,0,0,0,155,0,0,375,4165,89,861,159,90,169,187,103,115,121,1107,252
